Timestamp,What age range do you fall into?,What is your gender?,What is your field of study? (Optional),What is your current status at your institution?,What institution are you a part of?,Have you experimented with ChatGPT?,"If you have used ChatGPT, what have you used it for?",Do you think that using ChatGPT is a form of plagiarism ?,Do you think that the use of AI tools such as ChatGPT would inhibit education?,What would be the use of ChatGPT by students?,Do you think it is okay for AI such as ChatGPT to be trained on sources without the consent of the creators of that information?,What do you think of ChatGPT in the workplace?
3/13/2023 15:33:03,18-22,Female,Business,Undergrad,Tyndale University,"No, but I am planning to",,No,Yes,"To get help with assignments, same as searching with Google",Yes,It needs much improvement before it should be considered as an assistant
3/13/2023 15:33:16,18-22,Male,Humanities,Undergrad,Tyndale University,Yes,"Work related information, Studying for exams",No,Yes,To get a better understanding of certain subjects,Yes,It will be a powerful tool to speed up the work process
3/13/2023 15:35:37,18-22,Male,Health/Life Sciences,Undergrad,University of Debrecen ,Yes,"Help with assignments, Work related information, Entertainment purposes",No,No,To get a better understanding of certain subjects,No,It will be a powerful tool to speed up the work process
3/13/2023 15:36:04,18-22,Female,Business,Undergrad,Tyndale University,Yes,Entertainment purposes,No,No,"To get help with assignments, same as searching with Google",No,It will be a powerful tool to speed up the work process
3/13/2023 15:36:26,18-22,Male,Music,Undergrad,Tyndale University,Yes,Help with assignments,No,Yes,To get a better understanding of certain subjects,No,It needs much improvement before it should be considered as an assistant
3/13/2023 15:41:07,18-22,Female,Humanities,Undergrad,Ontario Tech,Yes,Help with assignments,Yes,No,To get a better understanding of certain subjects,Yes,It will be a powerful tool to speed up the work process
3/13/2023 15:43:31,18-22,Female,Health/Life Sciences,Undergrad,Toronto Metropolitan University,Yes,Help with assignments,No,Yes,To get a better understanding of certain subjects,No,"It will never be as good as a person, as humans can make better decisions than a robot"
3/13/2023 15:44:07,18-22,Male,Engineering,Undergrad,University of Waterloo,Yes,"Help with assignments, Entertainment purposes",No,No,"To get help with assignments, same as searching with Google",Yes,It needs much improvement before it should be considered as an assistant
3/13/2023 15:45:18,18-22,Female,Business,Undergrad,Universidad San Francisco de Quito,"No, but I am planning to",,Yes,Yes,"To get help with assignments, same as searching with Google",No,It will be a powerful tool to speed up the work process
3/13/2023 15:51:10,18-22,Female,Business,Undergrad,Tyndale University,Yes,Entertainment purposes,Yes,Yes,"To cheat on assessments (Writing essays, cheating on tests, etc)",No,It needs much improvement before it should be considered as an assistant
3/13/2023 15:53:45,23-29,Female,Health/Life Sciences,Undergrad,Tyndale University,"No, but I am planning to",,No,No,To get a better understanding of certain subjects,No,It will be a powerful tool to speed up the work process
3/13/2023 15:56:01,18-22,Female,Psychology ,Undergrad,Tyndale University,"No, and I am not planning to","Help with assignments, Work related information",No,No,To get a better understanding of certain subjects,Yes,It will be a powerful tool to speed up the work process
3/13/2023 15:57:00,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,"No, and I am not planning to",,Yes,Yes,To get a better understanding of certain subjects,No,It will replace jobs
3/13/2023 16:05:19,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,Entertainment purposes,Yes,No,"To get help with assignments, same as searching with Google",Yes,It needs much improvement before it should be considered as an assistant
3/13/2023 16:19:14,18-22,Male,Business,Undergrad,Brock University,"No, but I am planning to",Work related information,Yes,Yes,To get a better understanding of certain subjects,Yes,It will be a powerful tool to speed up the work process
3/13/2023 16:27:10,18-22,Male,Health/Life Sciences,Undergrad,Universidad de Valencia ,Yes,"Help with assignments, Work related information, Entertainment purposes",No,No,To get a better understanding of certain subjects,No,It will be a powerful tool to speed up the work process
3/13/2023 16:39:10,18-22,Female,Arts ,Graduate Studies,Universidad San Francisco de Quito,Yes,Help with assignments,No,No,"To get help with assignments, same as searching with Google",Yes,It will be a powerful tool to speed up the work process
3/13/2023 16:59:27,18-22,Male,Business,Undergrad,Universidad San Francisco de Quito,"No, but I am planning to",,No,No,"To get help with assignments, same as searching with Google",Yes,It will be a powerful tool to speed up the work process
3/13/2023 17:06:21,18-22,Female,Humanities,Undergrad,Universidad San Francisco de Quito,Yes,Help with assignments,Yes,Yes,"To get help with assignments, same as searching with Google",No,It will be a powerful tool to speed up the work process
3/13/2023 17:13:29,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,Help with assignments,Yes,Yes,"To get help with assignments, same as searching with Google",No,It will be a powerful tool to speed up the work process
3/13/2023 17:37:19,18-22,Female,Biomedical Sciences ,Undergrad,Brock University,"No, but I am planning to",,No,No,To get a better understanding of certain subjects,Yes,It needs much improvement before it should be considered as an assistant
3/13/2023 18:10:24,18-22,Male,Engineering,Undergrad,Toronto Metropolitan University,Yes,Work related information,No,No,"To get help with assignments, same as searching with Google",Yes,It will be a powerful tool to speed up the work process
3/13/2023 19:22:21,18-22,Female,Engineering,Undergrad,Universidad San Francisco de Quito,Yes,"Help with assignments, Entertainment purposes",No,Yes,"To get help with assignments, same as searching with Google",No,It will be a powerful tool to speed up the work process
3/13/2023 19:23:07,23-29,Male,Media,Undergrad,Durham College,"No, and I am not planning to",,Yes,No,"To get help with assignments, same as searching with Google",No,It needs much improvement before it should be considered as an assistant
3/13/2023 19:32:28,23-29,Male,Religious,Undergrad,CBTSC,Yes,Use for travelling ideas,Yes,Yes,"To cheat on assessments (Writing essays, cheating on tests, etc)",Yes,It will replace jobs
3/13/2023 19:45:51,18-22,Female,Health/Life Sciences,Undergrad,University of Toronto,"No, but I am planning to",,No,No,To get a better understanding of certain subjects,No,It will be a powerful tool to speed up the work process
3/13/2023 19:48:58,18-22,Male,Sports management ,Undergrad,Brock University,Yes,Help with assignments,Yes,No,"To get help with assignments, same as searching with Google",No,It needs much improvement before it should be considered as an assistant
3/13/2023 19:50:59,18-22,Prefer not to say,Prefer not to say,Undergrad,Rather Not Say,"No, and I am not planning to",,No,No,To get a better understanding of certain subjects,Yes,It needs much improvement before it should be considered as an assistant
3/13/2023 19:51:19,18-22,Female,Humanities,Undergrad,University of Toronto,"No, and I am not planning to",,Yes,Yes,"To cheat on assessments (Writing essays, cheating on tests, etc)",No,It needs much improvement before it should be considered as an assistant
3/13/2023 20:53:09,18-22,Female,Health/Life Sciences,Undergrad,Universidad Internacional del Ecuador,Yes,Entertainment purposes,No,No,"To cheat on assessments (Writing essays, cheating on tests, etc)",Yes,"It will never be as good as a person, as humans can make better decisions than a robot"
3/13/2023 20:58:41,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,"Work related information, Entertainment purposes, Media production",No,Yes,"To cheat on assessments (Writing essays, cheating on tests, etc)",No,It will be a powerful tool to speed up the work process
3/13/2023 21:51:00,18-22,Female,Health/Life Sciences,Undergrad,Universidad San Francisco de Quito,Yes,"Help with assignments, Work related information",No,Yes,"To get help with assignments, same as searching with Google",No,It needs much improvement before it should be considered as an assistant
3/13/2023 21:54:18,18-22,Female,Health/Life Sciences,Undergrad,Toronto Metropolitan University,Yes,Help with assignments,Yes,Yes,"To cheat on assessments (Writing essays, cheating on tests, etc)",Yes,It will be a powerful tool to speed up the work process
3/13/2023 21:58:11,18-22,Female,Business,Undergrad,Universidad San Francisco de Quito,Yes,"Help with assignments, Work related information",No,No,To get a better understanding of certain subjects,Yes,It will replace jobs
3/13/2023 22:03:17,40-49,Female,Business,Graduate Studies,Rather Not Say,Yes,Entertainment purposes,No,No,"To get help with assignments, same as searching with Google",No,It will be a powerful tool to speed up the work process
3/13/2023 22:04:56,18-22,Female,Health/Life Sciences,Undergrad,Universidad San Francisco de Quito,"No, and I am not planning to",Help with assignments,No,No,"To get help with assignments, same as searching with Google",No,It will replace jobs
3/13/2023 22:05:58,18-22,Female,Engineering,Undergrad,Universidad San Francisco de Quito,Yes,Help with assignments,No,No,"To get help with assignments, same as searching with Google",Yes,It will be a powerful tool to speed up the work process
3/13/2023 22:16:05,18-22,Male,Business,Undergrad,Universidad de Valencia ,"No, but I am planning to",,Yes,Yes,To get a better understanding of certain subjects,Yes,It will be a powerful tool to speed up the work process
3/13/2023 22:21:39,18-22,Female,Health/Life Sciences,Undergrad,Universidad San Francisco de Quito,Yes,"Help with assignments, Entertainment purposes, Media production",No,No,"To get help with assignments, same as searching with Google",No,It will be a powerful tool to speed up the work process
3/13/2023 22:26:49,18-22,Female,Business,Undergrad,Universidad San Francisco de Quito,"No, but I am planning to",,No,No,"To get help with assignments, same as searching with Google",Yes,It will be a powerful tool to speed up the work process
3/13/2023 22:42:20,18-22,Male,Health/Life Sciences,Undergrad,Universidad San Francisco de Quito,Yes,Entertainment purposes,No,No,"To get help with assignments, same as searching with Google",Yes,It will be a powerful tool to speed up the work process
3/13/2023 22:51:19,18-22,Female,Media,Undergrad,Universidad San Francisco de Quito,Yes,Help with assignments,Yes,Yes,"To cheat on assessments (Writing essays, cheating on tests, etc)",No,It will be a powerful tool to speed up the work process
3/13/2023 23:09:02,18-22,Female,Business,Undergrad,Universidad Internacional del Ecuador,"No, but I am planning to",,No,No,"To get help with assignments, same as searching with Google",No,"It will never be as good as a person, as humans can make better decisions than a robot"
3/13/2023 23:09:04,18-22,Female,Business,Undergrad,Universidad Internacional del Ecuador,"No, but I am planning to",,No,No,"To get help with assignments, same as searching with Google",No,"It will never be as good as a person, as humans can make better decisions than a robot"
3/13/2023 23:11:05,18-22,Female,Health/Life Sciences,Graduate Studies,Universidad San Francisco de Quito,Yes,"Help with assignments, Work related information",No,Yes,To get a better understanding of certain subjects,No,It will be a powerful tool to speed up the work process
3/13/2023 23:21:56,18-22,Female,Comunicación ,Graduate Studies,Universidad de Valencia ,Yes,Entertainment purposes,Yes,Yes,To get a better understanding of certain subjects,Yes,It needs much improvement before it should be considered as an assistant
3/13/2023 23:48:01,18-22,Male,Media,Undergrad,Northern Kentucky University,"No, and I am not planning to",,Yes,Yes,"To cheat on assessments (Writing essays, cheating on tests, etc)",Yes,It needs much improvement before it should be considered as an assistant
3/13/2023 23:58:28,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,"Help with assignments, Work related information",Yes,Yes,To get a better understanding of certain subjects,No,"It will never be as good as a person, as humans can make better decisions than a robot"
3/14/2023 5:42:53,18-22,Male,Humanities,Undergrad,University of Pecs,"No, but I am planning to",,No,No,To get a better understanding of certain subjects,No,It will replace jobs
3/14/2023 8:41:44,40-49,Male,Engineering,Graduate Studies,Toronto Metropolitan University,Yes,"Help with assignments, Work related information",No,No,To get a better understanding of certain subjects,Yes,It will be a powerful tool to speed up the work process
3/14/2023 13:20:10,18-22,Female,Humanities,Undergrad,Universidad San Francisco de Quito,Yes,"Help with assignments, Entertainment purposes",Yes,No,To get a better understanding of certain subjects,No,It needs much improvement before it should be considered as an assistant
3/15/2023 10:42:46,18-22,Male,Business,Undergrad,Durham College,Yes,"Help with assignments, Work related information, Entertainment purposes",Yes,No,"To get help with assignments, same as searching with Google",No,It will be a powerful tool to speed up the work process
3/15/2023 17:09:58,18-22,Female,Computer Science,Undergrad,Toronto Metropolitan University,"No, but I am planning to","Help with assignments, Work related information",No,Yes,"To get help with assignments, same as searching with Google",Yes,"It will never be as good as a person, as humans can make better decisions than a robot"
3/16/2023 18:26:14,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,"Work related information, Entertainment purposes",Yes,Yes,To get a better understanding of certain subjects,No,"It will never be as good as a person, as humans can make better decisions than a robot"
